machine_id,machine_type,timestamp,temperature_c,vibration_mm_s,runtime_hours,days_since_maintenance,failed_within_7d
M001,CNC_MILL,2025-01-01,56.42,2.411,4790.5,11,0
M001,CNC_MILL,2025-01-02,48.97,1.852,4798.5,12,0
M001,CNC_MILL,2025-01-03,53.59,2.163,4807.0,13,0
M001,CNC_MILL,2025-01-04,55.73,1.426,4819.0,14,0
M001,CNC_MILL,2025-01-05,47.68,2.181,4825.7,15,0
M001,CNC_MILL,2025-01-06,54.25,1.951,4840.4,16,0
M001,CNC_MILL,2025-01-07,62.68,2.118,4847.0,17,0
M001,CNC_MILL,2025-01-08,53.42,2.574,4853.2,18,0
M001,CNC_MILL,2025-01-09,53.2,2.284,4860.6,19,0
M001,CNC_MILL,2025-01-10,57.34,1.67,4875.1,20,0
M001,CNC_MILL,2025-01-11,57.47,1.634,4885.5,21,0
M001,CNC_MILL,2025-01-12,55.97,1.582,4891.9,22,0
M001,CNC_MILL,2025-01-13,55.66,2.265,4910.8,23,0
M001,CNC_MILL,2025-01-14,57.36,2.797,4930.3,24,0
M001,CNC_MILL,2025-01-15,55.79,2.493,4944.5,25,0
M001,CNC_MILL,2025-01-16,55.97,1.884,4951.5,26,0
M001,CNC_MILL,2025-01-17,49.37,1.59,4961.6,27,0
M001,CNC_MILL,2025-01-18,56.91,1.728,4978.7,28,0
M001,CNC_MILL,2025-01-19,55.63,2.179,4997.5,29,0
M001,CNC_MILL,2025-01-20,50.48,2.33,5004.4,0,0
M001,CNC_MILL,2025-01-21,57.44,2.407,5022.8,1,0
M001,CNC_MILL,2025-01-22,55.98,1.976,5040.7,2,0
M001,CNC_MILL,2025-01-23,59.49,2.101,5053.6,3,0
M001,CNC_MILL,2025-01-24,53.16,2.1,5065.8,4,0
M001,CNC_MILL,2025-01-25,55.26,1.91,5076.2,5,0
M001,CNC_MILL,2025-01-26,54.34,2.107,5087.9,6,0
M001,CNC_MILL,2025-01-27,59.87,2.247,5106.2,7,0
M001,CNC_MILL,2025-01-28,56.5,2.347,5124.4,8,0
M001,CNC_MILL,2025-01-29,59.12,2.053,5143.0,9,0
M001,CNC_MILL,2025-01-30,54.23,2.138,5158.1,10,0
M001,CNC_MILL,2025-01-31,50.95,1.694,5166.4,11,0
M001,CNC_MILL,2025-02-01,60.84,1.954,5176.1,12,0
M001,CNC_MILL,2025-02-02,53.55,1.829,5189.9,13,0
M001,CNC_MILL,2025-02-03,55.77,1.978,5209.4,14,0
M001,CNC_MILL,2025-02-04,49.24,1.992,5219.4,15,0
M001,CNC_MILL,2025-02-05,53.67,1.975,5230.2,16,0
M001,CNC_MILL,2025-02-06,53.28,1.874,5243.1,17,0
M001,CNC_MILL,2025-02-07,57.3,1.655,5259.8,18,0
M001,CNC_MILL,2025-02-08,52.59,2.415,5274.6,19,0
M001,CNC_MILL,2025-02-09,58.65,1.883,5291.8,20,0
M001,CNC_MILL,2025-02-10,52.03,1.83,5298.4,21,0
M001,CNC_MILL,2025-02-11,51.71,1.795,5314.3,22,0
M001,CNC_MILL,2025-02-12,52.84,1.919,5333.5,23,0
M001,CNC_MILL,2025-02-13,56.86,1.952,5341.4,24,0
M001,CNC_MILL,2025-02-14,57.44,1.631,5358.8,25,0
M001,CNC_MILL,2025-02-15,50.18,2.055,5366.1,26,0
M001,CNC_MILL,2025-02-16,58.0,2.046,5374.8,27,0
M001,CNC_MILL,2025-02-17,58.9,1.74,5393.3,0,0
M001,CNC_MILL,2025-02-18,52.96,2.07,5401.6,1,0
M001,CNC_MILL,2025-02-19,57.56,2.537,5412.8,2,0
M001,CNC_MILL,2025-02-20,54.57,1.42,5425.1,3,0
M001,CNC_MILL,2025-02-21,51.01,1.992,5436.2,4,0
M001,CNC_MILL,2025-02-22,56.27,2.282,5450.2,5,0
M001,CNC_MILL,2025-02-23,61.82,2.044,5459.7,6,0
M001,CNC_MILL,2025-02-24,54.97,2.124,5478.4,7,0
M001,CNC_MILL,2025-02-25,58.9,1.597,5493.7,8,0
M001,CNC_MILL,2025-02-26,56.88,1.743,5503.7,9,0
M001,CNC_MILL,2025-02-27,54.97,2.057,5513.6,10,0
M001,CNC_MILL,2025-02-28,54.63,2.222,5533.1,11,0
M001,CNC_MILL,2025-03-01,52.15,1.821,5542.9,12,0
M001,CNC_MILL,2025-03-02,55.64,1.626,5562.0,13,0
M001,CNC_MILL,2025-03-03,52.35,2.046,5576.6,14,0
M001,CNC_MILL,2025-03-04,52.43,1.692,5587.1,15,0
M001,CNC_MILL,2025-03-05,58.25,2.316,5598.1,16,0
M001,CNC_MILL,2025-03-06,56.55,2.154,5616.3,17,0
M001,CNC_MILL,2025-03-07,51.45,2.148,5623.3,18,0
M001,CNC_MILL,2025-03-08,55.7,2.053,5634.0,19,0
M001,CNC_MILL,2025-03-09,55.5,1.743,5640.5,20,0
M001,CNC_MILL,2025-03-10,52.32,1.9,5653.8,21,0
M001,CNC_MILL,2025-03-11,54.86,2.156,5671.6,22,0
M001,CNC_MILL,2025-03-12,59.99,1.778,5679.5,23,0
M001,CNC_MILL,2025-03-13,55.05,2.133,5690.1,24,0
M001,CNC_MILL,2025-03-14,51.08,1.403,5706.5,25,0
M001,CNC_MILL,2025-03-15,60.34,1.797,5713.3,0,0
M001,CNC_MILL,2025-03-16,50.35,1.897,5720.6,1,0
M001,CNC_MILL,2025-03-17,55.55,2.173,5733.8,2,0
M001,CNC_MILL,2025-03-18,51.02,2.553,5743.3,3,0
M001,CNC_MILL,2025-03-19,52.96,1.921,5750.6,4,0
M001,CNC_MILL,2025-03-20,53.35,2.329,5763.1,5,0
M001,CNC_MILL,2025-03-21,59.9,1.571,5778.0,6,0
M001,CNC_MILL,2025-03-22,55.01,2.227,5791.6,7,0
M001,CNC_MILL,2025-03-23,54.39,2.018,5805.8,8,0
M001,CNC_MILL,2025-03-24,49.31,2.384,5820.8,9,0
M001,CNC_MILL,2025-03-25,56.44,2.14,5835.6,10,0
M001,CNC_MILL,2025-03-26,55.84,1.813,5842.5,11,0
M001,CNC_MILL,2025-03-27,59.66,1.706,5853.3,12,0
M001,CNC_MILL,2025-03-28,53.13,1.893,5869.1,13,0
M001,CNC_MILL,2025-03-29,56.35,1.976,5882.7,14,0
M001,CNC_MILL,2025-03-30,57.24,2.183,5902.6,15,0
M001,CNC_MILL,2025-03-31,53.9,1.836,5916.7,16,0
M001,CNC_MILL,2025-04-01,57.29,1.667,5933.1,17,0
M001,CNC_MILL,2025-04-02,58.92,2.006,5943.6,18,0
M001,CNC_MILL,2025-04-03,55.97,1.961,5962.9,19,0
M001,CNC_MILL,2025-04-04,52.44,1.996,5970.2,20,0
M001,CNC_MILL,2025-04-05,58.61,1.641,5986.7,21,0
M001,CNC_MILL,2025-04-06,52.9,1.997,6000.4,22,0
M001,CNC_MILL,2025-04-07,55.97,2.503,6016.3,23,0
M001,CNC_MILL,2025-04-08,56.24,1.831,6030.9,24,0
M001,CNC_MILL,2025-04-09,55.73,1.848,6038.0,25,0
M001,CNC_MILL,2025-04-10,50.26,2.024,6052.1,26,0
M001,CNC_MILL,2025-04-11,58.46,1.857,6071.4,27,0
M001,CNC_MILL,2025-04-12,53.01,2.408,6078.5,28,0
M001,CNC_MILL,2025-04-13,48.89,2.471,6097.2,29,0
M001,CNC_MILL,2025-04-14,50.24,1.873,6108.9,30,0
M001,CNC_MILL,2025-04-15,58.81,2.231,6123.1,31,0
M001,CNC_MILL,2025-04-16,55.17,1.747,6135.2,32,0
M001,CNC_MILL,2025-04-17,55.14,2.117,6145.7,33,0
M001,CNC_MILL,2025-04-18,55.67,2.004,6152.7,0,0
M001,CNC_MILL,2025-04-19,53.58,2.065,6161.0,1,0
M001,CNC_MILL,2025-04-20,53.7,2.558,6175.8,2,0
M001,CNC_MILL,2025-04-21,54.67,2.293,6190.5,3,0
M001,CNC_MILL,2025-04-22,56.39,1.688,6201.9,4,0
M001,CNC_MILL,2025-04-23,52.61,1.599,6211.6,5,0
M001,CNC_MILL,2025-04-24,53.06,1.52,6226.0,6,0
M001,CNC_MILL,2025-04-25,57.23,2.443,6237.9,7,0
M001,CNC_MILL,2025-04-26,51.3,2.057,6249.6,8,0
M001,CNC_MILL,2025-04-27,56.02,1.996,6260.9,9,0
M001,CNC_MILL,2025-04-28,54.66,2.371,6272.7,10,0
M001,CNC_MILL,2025-04-29,56.03,2.573,6289.2,11,0
M001,CNC_MILL,2025-04-30,59.55,2.094,6308.4,12,0
M001,CNC_MILL,2025-05-01,50.95,1.809,6317.3,13,0
M001,CNC_MILL,2025-05-02,55.36,2.154,6326.5,14,0
M001,CNC_MILL,2025-05-03,44.57,1.92,6344.1,15,0
M001,CNC_MILL,2025-05-04,55.51,2.346,6358.0,16,0
M001,CNC_MILL,2025-05-05,56.94,2.411,6373.9,17,0
